,prices,market_caps,total_volumes
211,"[1615766400000, 59428.967566027764]","[1615766400000, 1111684638819.0723]","[1615766400000, 48104078384.27405]"
212,"[1615852800000, 55805.32924923426]","[1615852800000, 1049197142851.5631]","[1615852800000, 70594488699.70683]"
213,"[1615939200000, 56830.253335076224]","[1615939200000, 1060221966894.7418]","[1615939200000, 63219904254.35453]"
214,"[1616025600000, 59014.92563205099]","[1616025600000, 1101028543248.462]","[1616025600000, 63368268626.27834]"
215,"[1616112000000, 57922.40959262911]","[1616112000000, 1081065767945.8683]","[1616112000000, 58387006275.72827]"
216,"[1616198400000, 58243.27060892363]","[1616198400000, 1086741150606.8165]","[1616198400000, 51948388930.75819]"
217,"[1616284800000, 58376.15847137206]","[1616284800000, 1090022321077.5006]","[1616284800000, 54549112635.671715]"
218,"[1616371200000, 57573.539344778685]","[1616371200000, 1074356788297.177]","[1616371200000, 55664123837.602554]"
219,"[1616457600000, 54370.137557895185]","[1616457600000, 1020641820438.662]","[1616457600000, 62001716794.84347]"
220,"[1616544000000, 54584.86994699455]","[1616544000000, 1017637245492.0177]","[1616544000000, 60383378707.04851]"
221,"[1616630400000, 52526.86659704657]","[1616630400000, 982797427007.2565]","[1616630400000, 73029051195.05199]"
222,"[1616716800000, 51416.908304980054]","[1616716800000, 959155260366.7408]","[1616716800000, 63401640502.561295]"
223,"[1616803200000, 55033.100480447036]","[1616803200000, 1027209990794.8939]","[1616803200000, 55442557956.15464]"
224,"[1616889600000, 55832.418109618324]","[1616889600000, 1042184275332.6417]","[1616889600000, 47285749218.66506]"
225,"[1616976000000, 55728.10132780653]","[1616976000000, 1039333584621.1438]","[1616976000000, 49315845081.42435]"
226,"[1617062400000, 57634.92869447539]","[1617062400000, 1075942162536.995]","[1617062400000, 57387039705.47129]"
227,"[1617148800000, 58668.628336761]","[1617148800000, 1095293012032.8433]","[1617148800000, 52387542500.621956]"
