,prices,market_caps,total_volumes
32,"[1600300800000, 10952.249969107099]","[1600300800000, 202524001250.4926]","[1600300800000, 24459086808.776905]"
33,"[1600387200000, 10937.996396960929]","[1600387200000, 202358479464.18542]","[1600387200000, 23547167125.342415]"
34,"[1600473600000, 10927.150310293275]","[1600473600000, 202091264904.96927]","[1600473600000, 20681771888.399273]"
35,"[1600560000000, 11083.99836119821]","[1600560000000, 204994315602.9869]","[1600560000000, 18334274060.30012]"
36,"[1600646400000, 10923.32666818137]","[1600646400000, 202032519471.26855]","[1600646400000, 20161733906.963223]"
37,"[1600732800000, 10439.522488792423]","[1600732800000, 193677795064.08533]","[1600732800000, 23757059692.357033]"
38,"[1600819200000, 10527.58784673943]","[1600819200000, 194731087415.28983]","[1600819200000, 19866578108.977962]"
39,"[1600905600000, 10223.784106392732]","[1600905600000, 189120580778.46335]","[1600905600000, 19981974722.351273]"
40,"[1600992000000, 10726.530083321983]","[1600992000000, 198514026300.17914]","[1600992000000, 21348447554.09249]"
41,"[1601078400000, 10681.993848113701]","[1601078400000, 197616950282.06653]","[1601078400000, 19119761059.475536]"
42,"[1601164800000, 10743.19287975935]","[1601164800000, 198687083452.04324]","[1601164800000, 16886146730.050009]"
43,"[1601251200000, 10765.300521660893]","[1601251200000, 199236216251.43555]","[1601251200000, 17639951627.948776]"
44,"[1601337600000, 10672.02854425897]","[1601337600000, 197720212770.89465]","[1601337600000, 19869963340.485493]"
45,"[1601424000000, 10837.516586513004]","[1601424000000, 200532996047.58585]","[1601424000000, 18308943800.639038]"
46,"[1601510400000, 10770.881347466415]","[1601510400000, 199310441688.83572]","[1601510400000, 18558607662.6852]"
47,"[1601596800000, 10627.976063963179]","[1601596800000, 196617081790.5188]","[1601596800000, 20889752499.95891]"
48,"[1601683200000, 10572.674843011133]","[1601683200000, 195660035179.73257]","[1601683200000, 21258724984.475838]"
49,"[1601769600000, 10546.65625537982]","[1601769600000, 195188285650.34625]","[1601769600000, 16039831144.937496]"
50,"[1601856000000, 10670.700811335208]","[1601856000000, 197494664453.7935]","[1601856000000, 16029160487.55924]"
51,"[1601942400000, 10784.94940309411]","[1601942400000, 199530129891.0881]","[1601942400000, 17853484006.269306]"
52,"[1602028800000, 10605.95779130622]","[1602028800000, 196314284797.01337]","[1602028800000, 19419734685.095844]"
53,"[1602115200000, 10668.011010796896]","[1602115200000, 197575523784.584]","[1602115200000, 17222472599.6063]"
54,"[1602201600000, 10888.666546835811]","[1602201600000, 201518932273.67853]","[1602201600000, 19767968267.462948]"
55,"[1602288000000, 11063.2523862591]","[1602288000000, 204809205392.17957]","[1602288000000, 19254933802.105747]"
56,"[1602374400000, 11286.541942043945]","[1602374400000, 209268690952.5854]","[1602374400000, 19496631246.27072]"
57,"[1602460800000, 11377.814876756858]","[1602460800000, 210799352797.1382]","[1602460800000, 16270141989.732687]"
58,"[1602547200000, 11543.183760771468]","[1602547200000, 213726225963.20517]","[1602547200000, 20957733313.86495]"
59,"[1602633600000, 11426.105544220427]","[1602633600000, 211576163357.66504]","[1602633600000, 19556025069.397404]"
60,"[1602720000000, 11435.57243757972]","[1602720000000, 211756280001.1405]","[1602720000000, 20441486195.023685]"
61,"[1602806400000, 11495.584995733887]","[1602806400000, 212878404236.874]","[1602806400000, 20511481706.663586]"
62,"[1602892800000, 11319.097785677623]","[1602892800000, 209993205751.02322]","[1602892800000, 20436703034.239178]"
63,"[1602979200000, 11365.814131026178]","[1602979200000, 210421523306.69058]","[1602979200000, 15650920221.099894]"
64,"[1603065600000, 11495.899975689872]","[1603065600000, 212752326976.49207]","[1603065600000, 15569792414.423223]"
65,"[1603152000000, 11752.146863919786]","[1603152000000, 217391050812.65872]","[1603152000000, 18121468516.27194]"
66,"[1603238400000, 11908.708923246453]","[1603238400000, 220404884318.97812]","[1603238400000, 21431994055.82887]"
67,"[1603324800000, 12806.435726727443]","[1603324800000, 236717318526.15692]","[1603324800000, 29314287990.069]"
68,"[1603411200000, 12951.044060038126]","[1603411200000, 240257678153.83536]","[1603411200000, 25070864646.764915]"
69,"[1603497600000, 12928.072296348406]","[1603497600000, 239590543523.72256]","[1603497600000, 21379873277.585674]"
70,"[1603584000000, 13106.04601925958]","[1603584000000, 242785151288.07916]","[1603584000000, 19302801174.758503]"
71,"[1603670400000, 13021.410842124118]","[1603670400000, 241326618198.73062]","[1603670400000, 18998745579.318]"
72,"[1603756800000, 13060.79221208406]","[1603756800000, 242141178089.60794]","[1603756800000, 21507619985.694366]"
73,"[1603843200000, 13655.185415883081]","[1603843200000, 253004886697.36078]","[1603843200000, 23918511528.069115]"
74,"[1603929600000, 13282.999348292438]","[1603929600000, 245661872194.44214]","[1603929600000, 26825856788.112816]"
75,"[1604016000000, 13441.878496031612]","[1604016000000, 249545455596.3296]","[1604016000000, 22860841953.831577]"
76,"[1604102400000, 13537.174271524887]","[1604102400000, 250845436637.92026]","[1604102400000, 23482756915.113663]"
77,"[1604188800000, 13778.637638352931]","[1604188800000, 255329261020.6163]","[1604188800000, 22691200479.405403]"
78,"[1604275200000, 13720.361465146289]","[1604275200000, 254260250527.50497]","[1604275200000, 19771957707.937115]"
79,"[1604361600000, 13558.361795524168]","[1604361600000, 251266177558.48047]","[1604361600000, 22630851230.49477]"
80,"[1604448000000, 13989.976358180447]","[1604448000000, 259277183164.55063]","[1604448000000, 22602862338.46403]"
81,"[1604534400000, 14101.716050813722]","[1604534400000, 261103557610.74826]","[1604534400000, 25857225138.46526]"
82,"[1604620800000, 15553.331701081443]","[1604620800000, 288118007577.42645]","[1604620800000, 36313255719.023285]"
83,"[1604707200000, 15548.312145063144]","[1604707200000, 288563189165.38806]","[1604707200000, 34523587704.57108]"
84,"[1604793600000, 14818.45891122149]","[1604793600000, 274687727889.983]","[1604793600000, 30369855794.73288]"
85,"[1604880000000, 15496.316149147417]","[1604880000000, 287116472704.3936]","[1604880000000, 24082570971.891495]"
86,"[1604966400000, 15335.342198178862]","[1604966400000, 284292217075.7686]","[1604966400000, 29501754042.78257]"
87,"[1605052800000, 15278.70965979927]","[1605052800000, 283242342238.5137]","[1605052800000, 21918753732.66584]"
88,"[1605139200000, 15686.905986213233]","[1605139200000, 291215273242.1888]","[1605139200000, 23990613793.268227]"
89,"[1605225600000, 16265.149252483357]","[1605225600000, 301529322417.4614]","[1605225600000, 28001128791.211353]"
90,"[1605312000000, 16326.81487507908]","[1605312000000, 302672502422.09]","[1605312000000, 24826304419.55837]"
91,"[1605398400000, 16095.561510630652]","[1605398400000, 298290647831.24426]","[1605398400000, 22096608221.167004]"
92,"[1605484800000, 15984.673784156614]","[1605484800000, 296277008765.18964]","[1605484800000, 19184714602.510406]"
93,"[1605571200000, 16714.40386322188]","[1605571200000, 309857769717.0289]","[1605571200000, 24606359052.384533]"
94,"[1605657600000, 17651.82042768171]","[1605657600000, 327448838765.29767]","[1605657600000, 31572384445.72333]"
95,"[1605744000000, 17829.934958345126]","[1605744000000, 330792375072.03064]","[1605744000000, 40089857655.31074]"
96,"[1605830400000, 17819.75743096837]","[1605830400000, 330526082018.5286]","[1605830400000, 30586797551.711708]"
97,"[1605916800000, 18628.813489036198]","[1605916800000, 345552251091.15924]","[1605916800000, 28731271104.013725]"
98,"[1606003200000, 18689.528655825852]","[1606003200000, 346623937352.1668]","[1606003200000, 31201880851.778336]"
99,"[1606089600000, 18390.61184379203]","[1606089600000, 342078349285.0962]","[1606089600000, 33010231293.95878]"
100,"[1606176000000, 18360.693300385865]","[1606176000000, 340635146714.39825]","[1606176000000, 33389683851.4282]"
101,"[1606262400000, 19091.524181728702]","[1606262400000, 354209935573.8031]","[1606262400000, 49429532567.3455]"
102,"[1606348800000, 18753.288921684914]","[1606348800000, 348158099247.1633]","[1606348800000, 32146102840.277466]"
103,"[1606435200000, 17138.029512395206]","[1606435200000, 317999016791.45123]","[1606435200000, 48738957776.520256]"
104,"[1606521600000, 17140.27555252362]","[1606521600000, 318057301370.37897]","[1606521600000, 30680336583.342796]"
105,"[1606608000000, 17718.972832629497]","[1606608000000, 328812520405.74207]","[1606608000000, 24501260966.046284]"
106,"[1606694400000, 18169.95420978285]","[1606694400000, 336495192223.0139]","[1606694400000, 23940328528.71234]"
107,"[1606780800000, 19609.52143957559]","[1606780800000, 363927715778.6875]","[1606780800000, 36160827241.441734]"
108,"[1606867200000, 18857.417371118165]","[1606867200000, 349587593227.14185]","[1606867200000, 38614628143.57325]"
109,"[1606953600000, 19208.398191994624]","[1606953600000, 356517705143.29443]","[1606953600000, 28923102074.82652]"
110,"[1607040000000, 19435.20484740911]","[1607040000000, 360661550057.2975]","[1607040000000, 24342606870.708958]"
111,"[1607126400000, 18711.226549886927]","[1607126400000, 347850442856.6359]","[1607126400000, 26369871383.262005]"
112,"[1607212800000, 19139.111575237486]","[1607212800000, 355244908734.6481]","[1607212800000, 23333284386.26552]"
113,"[1607299200000, 19325.55411859109]","[1607299200000, 358762118305.1145]","[1607299200000, 21832193872.698597]"
114,"[1607385600000, 19198.806493935343]","[1607385600000, 356587934226.10187]","[1607385600000, 22034483383.94943]"
115,"[1607472000000, 18336.514581297808]","[1607472000000, 340435142947.90857]","[1607472000000, 26799991795.55794]"
116,"[1607558400000, 18564.986455688137]","[1607558400000, 344693077429.9694]","[1607558400000, 29806757748.847992]"
117,"[1607644800000, 18262.058384653155]","[1607644800000, 339714540194.3479]","[1607644800000, 24092658533.60422]"
118,"[1607731200000, 18058.027339569555]","[1607731200000, 335310805699.2893]","[1607731200000, 26080197328.252396]"
119,"[1607817600000, 18807.09540322016]","[1607817600000, 349235537025.78625]","[1607817600000, 21918803313.730873]"
120,"[1607904000000, 19151.13442340493]","[1607904000000, 355642790361.31714]","[1607904000000, 23550581096.074562]"
121,"[1607990400000, 19259.97047153096]","[1607990400000, 357681110300.36426]","[1607990400000, 21638023119.81534]"
122,"[1608076800000, 19432.362456862407]","[1608076800000, 360542942204.959]","[1608076800000, 24173322660.107285]"
123,"[1608163200000, 21317.66213678684]","[1608163200000, 396179736655.63983]","[1608163200000, 39062639738.04841]"
124,"[1608249600000, 22805.65580598891]","[1608249600000, 423587689809.2768]","[1608249600000, 60693764158.56218]"
125,"[1608336000000, 23120.57055156752]","[1608336000000, 429459534590.4159]","[1608336000000, 37000188847.409645]"
126,"[1608422400000, 23863.85484171969]","[1608422400000, 443289431125.4617]","[1608422400000, 35252972899.69343]"
127,"[1608508800000, 23518.31842054723]","[1608508800000, 436893169132.7113]","[1608508800000, 32907758817.840942]"
128,"[1608595200000, 22840.991707188354]","[1608595200000, 424329939581.7774]","[1608595200000, 38423396405.393135]"
129,"[1608681600000, 23794.79330262859]","[1608681600000, 441752551013.19135]","[1608681600000, 38733771616.273865]"
130,"[1608768000000, 23308.12723217715]","[1608768000000, 433051601800.69293]","[1608768000000, 42917744239.8244]"
131,"[1608854400000, 23760.287048542956]","[1608854400000, 441614502954.16315]","[1608854400000, 36826373658.97133]"
132,"[1608940800000, 24671.107714415415]","[1608940800000, 458416319552.32434]","[1608940800000, 36622874229.82892]"
133,"[1609027200000, 26476.130137019492]","[1609027200000, 491978602969.93176]","[1609027200000, 41995154622.74047]"
134,"[1609113600000, 26423.22879190229]","[1609113600000, 493427450341.26013]","[1609113600000, 56654980595.93094]"
135,"[1609200000000, 27125.384120651503]","[1609200000000, 503712223153.6673]","[1609200000000, 42186521237.4668]"
136,"[1609286400000, 27424.538954606684]","[1609286400000, 509680257177.0481]","[1609286400000, 38081840205.60215]"
137,"[1609372800000, 28837.28852895899]","[1609372800000, 535967306917.84125]","[1609372800000, 43341140482.282166]"
138,"[1609459200000, 29022.41839530417]","[1609459200000, 539438036435.6701]","[1609459200000, 43503516563.294876]"
139,"[1609545600000, 29352.12679194895]","[1609545600000, 545593282215.2498]","[1609545600000, 34089717988.090446]"
140,"[1609632000000, 32163.824935335215]","[1609632000000, 597887713053.5825]","[1609632000000, 57273436641.22308]"
141,"[1609718400000, 33008.226203489285]","[1609718400000, 613616917625.6967]","[1609718400000, 178894068361.35312]"
142,"[1609804800000, 31515.575966658354]","[1609804800000, 585726270248.7891]","[1609804800000, 74657165356.22716]"
143,"[1609891200000, 34082.20604904424]","[1609891200000, 633651671519.3958]","[1609891200000, 67420500715.520256]"
144,"[1609977600000, 36933.520137309126]","[1609977600000, 682743683563.0741]","[1609977600000, 71027195897.95125]"
145,"[1610064000000, 39547.08408135567]","[1610064000000, 735339707368.3339]","[1610064000000, 78642959829.4919]"
146,"[1610150400000, 40815.96185478254]","[1610150400000, 758971014787.3597]","[1610150400000, 82846468856.35208]"
147,"[1610236800000, 40296.5290038294]","[1610236800000, 749347201462.6359]","[1610236800000, 55921808671.54423]"
148,"[1610323200000, 38397.895985418174]","[1610323200000, 714078952009.0243]","[1610323200000, 73381123612.69325]"
149,"[1610409600000, 35669.90668663349]","[1610409600000, 663380898829.0051]","[1610409600000, 111691569520.10521]"
150,"[1610496000000, 33938.33587810088]","[1610496000000, 629751630408.4126]","[1610496000000, 68954134557.3671]"
151,"[1610582400000, 37456.00772548642]","[1610582400000, 696668634091.3435]","[1610582400000, 65278944793.97605]"
152,"[1610668800000, 39232.74997140346]","[1610668800000, 729751433670.0881]","[1610668800000, 57519444621.68669]"
153,"[1610755200000, 36787.52121668496]","[1610755200000, 684304915288.2261]","[1610755200000, 63450740093.03335]"
