,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
32,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,274.31,4921732775,33,,222312676,275.25,262.04,1.98,0.72793,24759871.0,0.50562,17974018.6819115,,,542.33,-49.52435,2018-01-09T00:00:00.000Z,0.216177,126528.99216,2015-01-14T00:00:00.000Z,,2021-08-16T03:24:53.830Z
33,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.92,4798721960,34,,103979437,1.94,1.7,0.120109,6.66451,302020661.0,6.71649,2495772777.0,,,4.34,-55.71475,2021-03-30T03:44:28.828Z,0.06044,3079.20545,2020-04-29T08:19:34.574Z,,2021-08-16T03:24:38.148Z
34,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02159234,4472225613,35,,2519772,0.02180444,0.02145286,2.531e-05,0.11736,-26981884.58922386,-0.5997,208102642577.614,208102642577.614,,0.03159087,-31.69901,2020-10-12T21:29:00.007Z,0.00728854,196.03823,2020-03-18T04:29:40.819Z,,2021-08-16T03:23:25.007Z
35,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,21.14,4441174758,36,,179020729,21.38,19.96,0.441371,2.13272,92368921.0,2.12401,210286708.962829,,,43.96,-51.96223,2021-04-30T10:08:22.934Z,0.194441,10761.73581,2020-11-03T14:29:34.165Z,,2021-08-16T03:24:38.475Z
36,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,15.89,4410995411,37,,219560217,16.14,14.91,0.16718,1.06326,47719925.0,1.09367,277597797.083822,,,31.7,-49.87745,2021-05-07T16:18:33.469Z,1.16,1269.74264,2020-03-13T02:27:44.591Z,"{'times': 157.9059829359457, 'currency': 'usd', 'percentage': 15790.59829359457}",2021-08-16T03:24:42.093Z
37,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.909535,4272798649,38,9060726415.0,191145451,0.917879,0.847243,0.00940653,1.04502,7931298.0,0.18597,4715735200.0,10000000000.0,10000000000.0,2.84,-68.12148,2021-02-12T07:28:45.775Z,0.103254,777.28017,2020-12-17T21:28:41.332Z,,2021-08-16T03:25:01.692Z
38,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,8.5e-06,4227074747,39,,476268448,8.71e-06,7.87e-06,2.69335e-07,3.27163,130791265.0,3.19293,497730966630395.75,1000000000000000.0,,3.791e-05,-77.60124,2021-05-10T22:53:42.945Z,5.6e-11,15065321.26757,2020-11-28T11:26:25.838Z,,2021-08-16T03:24:54.513Z
39,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,58.2,4100197447,40,,738823777,59.58,53.03,3.07,5.5649,219249891.0,5.64939,70530000.0,100000000.0,,198.38,-70.7561,2018-01-15T00:00:00.000Z,0.078349,73945.81286,2016-10-21T00:00:00.000Z,"{'times': 1615.6301838373743, 'currency': 'usd', 'percentage': 161563.01838373742}",2021-08-16T03:24:49.748Z
40,axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,68.92,3957859748,41,18616370469.0,813786643,70.04,64.23,1.64,2.43257,120027067.0,3.12747,57402281.16941147,270000000.0,270000000.0,75.73,-8.95128,2021-08-11T06:30:15.701Z,0.123718,55634.58475,2020-11-06T08:05:43.662Z,,2021-08-16T03:25:10.320Z
41,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.152897,3854416976,42,,37588217,0.153553,0.145531,0.00289206,1.92798,64695259.0,1.70712,25263013692.0,30263013692.0,,0.27702,-44.93065,2021-02-22T11:33:57.751Z,0.0121196,1158.73091,2019-02-08T00:00:00.000Z,,2021-08-16T03:25:06.622Z
42,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,3826.46,3443153868,43,3841467085.0,140407909,3890.61,3632.98,17.71,0.46505,9325130.0,0.27157,901310.9472893132,991328.381954929,1005577.0,6292.31,-39.34844,2021-05-03T21:54:29.333Z,168.36,2166.83425,2020-03-16T20:52:36.527Z,,2021-08-16T03:25:07.797Z
43,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,18.84,3273870690,44,13580485339.0,100304106,19.16,17.21,0.771746,4.27159,113216373.0,3.58205,173571624.157144,377752194.4695483,720000000.0,59.4,-68.31555,2021-02-10T22:23:34.616Z,2.8,571.94675,2020-12-31T13:15:21.540Z,,2021-08-16T03:25:05.040Z
44,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.17,3250792886,45,,55257130,1.18,1.1,0.01097248,0.94347,4079541.0,0.12565,2779530283.277761,2779530283.0,,5.25,-77.75856,2017-12-19T00:00:00.000Z,0.081637,1329.98694,2020-03-13T02:22:41.168Z,"{'times': 17.3645214456684, 'currency': 'btc', 'percentage': 1736.4521445668404}",2021-08-16T03:25:13.179Z
45,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.988744,3207034605,46,9865952335.0,212489464,1.02,0.92899,0.02043246,2.11011,72405553.0,2.30986,3250608249.96109,10000000000.0,10000000000.0,3.56,-72.32689,2019-06-20T14:51:19.480Z,0.105336,835.56505,2020-03-13T02:20:48.438Z,"{'times': -0.588023307154463, 'currency': 'usd', 'percentage': -58.8023307154463}",2021-08-16T03:25:14.270Z
46,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,169.75,3187595277,47,,395111931,171.19,161.54,0.494333,0.29206,780211.0,0.02448,18815820.394239,21000000.0,,489.75,-65.39269,2021-04-16T17:09:04.630Z,42.02,303.38041,2018-11-23T00:00:00.000Z,,2021-08-16T03:25:04.817Z
47,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,3.76,3155692145,48,,160347789,3.79,3.57,0.062311,1.68661,49403170.0,1.59042,841434186.17291,,,8.27,-54.67187,2021-05-07T02:09:26.683Z,0.350476,969.09991,2018-12-07T00:00:00.000Z,"{'times': 6.9931496176002215, 'currency': 'usd', 'percentage': 699.3149617600221}",2021-08-16T03:24:35.771Z
48,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00477759,3144471433,49,,500652289,0.00485222,0.00462138,-5.8093093e-05,-1.20134,-31390364.08780384,-0.9884,659071882049.0,990000000000.0,,0.01356626,-64.83929,2021-04-05T04:09:06.433Z,0.00013814,3352.94341,2020-03-13T02:22:57.629Z,"{'times': 38.81326293959799, 'currency': 'usd', 'percentage': 3881.3262939597994}",2021-08-16T03:25:08.060Z
49,amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.060554,2907925535,50,6009493398.0,28697902,0.061978,0.059639,-0.001424750348,-2.29878,-57329831.444367886,-1.93339,48013928909.1577,99226366618.1927,99225164238.50153,0.120813,-49.86929,2021-06-16T16:03:41.147Z,0.00250501,2317.72139,2020-11-04T13:18:12.191Z,,2021-08-16T03:24:58.446Z
50,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.98,2819213751,51,,3682306,3.02,2.95,-0.001629999776,-0.05475,-2742757.625921726,-0.09719,948033419.9,985239504.0,,3.95,-24.62775,2021-05-14T13:54:31.192Z,0.799859,271.75684,2019-12-24T15:14:35.376Z,,2021-08-16T03:24:59.918Z
