,id,name,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
80,hoo,Hoo.com,2019.0,Cayman Islands,"Hoo.com is a world’s leading blockchain assets service platform, aiming to provide safe and reliable assets management and blockchain services to users worldwide. ",https://www.hoo.com,https://assets.coingecko.com/markets/images/526/small/Hoo_Logo2.jpg?1602237762,False,6,81,16035.524018804708,16035.524018804708
81,flybit,Flybit,2018.0,South Korea,,https://flybit.com,https://assets.coingecko.com/markets/images/655/small/flybit_logo_%EA%B0%80%EB%A1%9C%ED%98%95.png?1619148627,True,6,82,10751.678670520114,10751.678670520114
82,pancakeswap,PancakeSwap (v2),2020.0,,,https://pancakeswap.finance,https://assets.coingecko.com/markets/images/657/small/pancakeswap.png?1619272176,False,6,83,9577.304793566607,9577.304793566607
83,bw,BW.com,2017.0,,,https://www.bw.com/,https://assets.coingecko.com/markets/images/326/small/bw.com.jpg?1548664400,False,6,84,8786.009458739336,8786.009458739336
84,oceanex,Oceanex,2018.0,Cayman Islands,,https://oceanex.pro,https://assets.coingecko.com/markets/images/341/small/Oceanex.png?1548153658,False,6,85,8384.879134081659,8384.879134081659
85,btc_alpha,BTC-Alpha,2016.0,,,https://btc-alpha.com/,https://assets.coingecko.com/markets/images/155/small/btc_alpha.jpg?1526356352,False,6,86,7131.125430826782,7131.125430826782
86,uniswap_v2,Uniswap (v2),2018.0,,,https://app.uniswap.org/#/swap?use=V2,https://assets.coingecko.com/markets/images/535/small/256x256_Black-1.png?1590893262,False,6,87,7049.552348664889,7049.552348664889
87,goku,GokuMarket,2019.0,Hong Kong,"Launched on 20/11/2019, GokuMarket is a centralized exchange and crypto utility provider. It supports crypto trading/crypto purchase with card/cash-out with debit card/staking/autobots/e-commerce/freelancers/travel bookings/IEOs, all accessible on web & mobile Android/iOS App.",https://gokumarket.com,https://assets.coingecko.com/markets/images/590/small/GokuMarket-Logo-200-200-1.png?1601890565,False,6,88,6043.009366936886,6043.009366936886
88,phemex,Phemex,2019.0,Singapore,,https://phemex.com/,https://assets.coingecko.com/markets/images/564/small/phemex_logo.jpg?1596681293,False,6,89,5846.979538351454,5846.979538351454
89,sushiswap,Sushiswap,2020.0,,,https://app.sushi.com/swap,https://assets.coingecko.com/markets/images/576/small/2048x2048_Logo.png?1609208464,False,6,90,5643.097485881549,5643.097485881549
90,changelly,Changelly PRO,2020.0,Seychelles,"Launched on 06/07/2020, Changelly PRO is a centralized exchange located at 306 Victoria House, Victoria Mahe, Seychelles. It is a professional version of the instant swap platform Changelly. Changelly PRO aims to serve the fast growing Changelly community that has been requesting professional trading features as well as foster the onboarding of beginners to advanced trading. The PRO version has spot and margin trading as well as fiat on-ramp solution.
PRO offers:
• Multi-currency wallet to store a variety of coins
• Interactive and customizable terminal
• Access to 50+ markets
• Competitive trading fees starting from 0.1% both for makers and takers
• Lowest withdrawal fees on the most popular coins and tokens such as BTC, ETH, XRP
• Simple registration process with several verification levels",https://pro.changelly.com/,https://assets.coingecko.com/markets/images/580/small/pro_logo_cmc.png?1600833621,False,6,91,94250.76062835341,5001.359629082681
91,wootrade,Wootrade,2019.0,,"Wootrade aims to solve the pain points of shallow liquidity, high fees, and poor trading environments on the cryptocurrency market by offering sufficient trading depth for B2B clients such as exchanges, wallets, and trading institutions with zero fees. The Wootrade network has already been online for nearly one year and is providing service to more than 10 exchanges and trading institutions, including Gate.io, Hoo.com, MXC, Oneboat Capital, Genesis Block, and more. A total of over 65,000 end users have used its trading depth through the exchanges cooperating with Wootrade. Wootrade’s incubator, Kronos Research, has an established track record and processes up to $5 billion per day in trade volume.",https://woo.network,https://assets.coingecko.com/markets/images/683/small/wootrade.jpg?1624621149,False,6,92,4934.040276385273,4934.040276385273
92,exmarkets,ExMarkets,2018.0,British Virgin Islands,,https://exmarkets.com,https://assets.coingecko.com/markets/images/363/small/42200149_2115011248752220_3911078373144657920_n.jpg?1551247813,False,6,93,4544.639311810649,4544.639311810649
93,coinex,CoinEx,2017.0,United Kingdom,,https://www.coinex.com/,https://assets.coingecko.com/markets/images/135/small/coinex.jpg?1527737297,False,6,94,3467.1300639171573,3467.1300639171573
94,quoine,Liquid,2014.0,Japan,,https://liquid.com,https://assets.coingecko.com/markets/images/40/small/liquid.png?1536133472,False,6,95,3328.137916113867,3328.137916113867
95,catex,Catex,2018.0,China,,https://www.catex.io/,https://assets.coingecko.com/markets/images/354/small/catex.png?1550735332,False,6,96,3123.8533138259013,3123.8533138259013
96,vcc,VCC Exchange,2019.0,Vietnam,"Launched on May 19, 2019, VCC Exchange is an exchange based in Singapore, operates in Vietnam. It has worked with the government in few initiatives including Dialogue on blockchain-based applications’ legal framework (https://bit.ly/32SJVl2) and Vietnam Blockchain Startup (https://bit.ly/341Iv7Q).

VCC supports trading crypto-crypto, VND-crypto in web, iOS and Android applications. VCC Exchange is backed by Signum Capital and Axiom Associates Capital. It currently supports trading fee of 0%.",https://vcc.exchange,https://assets.coingecko.com/markets/images/500/small/VCC_Logo_200x200.jpg?1576147069,False,6,97,5746.0306688819655,2450.7417548114504
97,decoin,Decoin,2017.0,Estonia,"Founded in 2017, Decoin is an exchange designed by the crypto community for the crypto community. Our mission is to provide a maximum-security exchange that has an easy-to-use interface for novice users, and advanced trading features for industry veterans. Decoin’s ecosystem also includes a profit-sharing coin called DTEP, which is powered by an independent blockchain using a PoS consensus algorithm. We are led by an experienced team of fintech experts, financial professionals, and experienced traders.",https://www.decoin.io,https://assets.coingecko.com/markets/images/479/small/decoin.jpg?1578456566,False,6,98,2106.2887365507927,2106.2887365507927
98,coindeal,Coindeal,2018.0,Malta,"CoinDeal is one of the fastest-growing crypto-fiat exchanges in Europe.

The company is located in Malta and is subject to Maltese regulations.
On 25 November this year, a managerial delegation from CoinDeal went to Malta to meet with the Malta Financial Services Authority (MFSA). This is the next stage that leads the exchange to receive the Maltese VFA license. 
Read more HERE. CoinDeal meets the requirements of the VFA Class 4 and all its activities are legal. 
Its credibility is confirmed by its entry into the American market, which involved meeting a number of legal requirements. Thanks to Coindeal's compliance with all these requirements, it is now available in 13 states. You can read more HERE.

WHAT DO WE OFFER
We are one of the largest exchanges in Europe with more than 40 cryptocurrencies pairs in our offer, including the most popular ones such as Ethereum, Bitcoin or Litecoin and FIAT currencies: Euro (EUR), Dollar (USD), British pound (GBP), Polish zloty (PLN), Swiss franc (CHF)
We always want to provide our users with the opportunity to actively participate in the development of CoinDeal, so by voting for new cryptocurrency users can decide which of them will be added to the exchange. 

CDL TOKEN
CoinDeal exchange created its own Token to give it for free to its users. It was the first Token in the world to be distributed free of charge to so many people. It was as many as 87 549 users of the Coindeal exchange! 45 000 000 000 Tokens were distributed, which is 90% of all created Tokens. When the market opened for CDL, which took place on November 12, 2019, the value of all Tokens was 1 129 382 USD (382 BTC)! In the beginning, CDL is available together with BTC. The pairs planned for the near future are CDL/EUR and CDL/USDT. Additionally, the exchange offers many benefits from having CDL Tokens on your account. Among other things, it is a 0% fee and you can read about it on the official Token website.

SECURITY
Our platform has the highest SSL standard security integrated with Cloudflare functionality. User accounts are protected by a multi-level 2FA verification. For the withdrawal of funds, it is necessary to have an email confirmation, which is also required when using the platform with new IP addresses. 90% of user funds are stored on cold wallets protected by Multisignature.

OUR TEAM
Kajetan Maćkowiak and Adam Bicz  are the main managers of CoinDeal.

Adam has built his long-standing experience in the IT and blockchain sector in the international arena. As the chief programmer at CoinDeal, he is the leader of the team responsible for the development and security of the exchange. Adam operates not only within the BlockchainHouse brand but is also the creator of the BuyCoinNow and Paycoiner payment gateway. 

Kajetan has been involved in co-creating blockchain technology projects for years. His professional experience allows him to effectively develop his business and manage his marketing activities. He created an international umbrella brand, which is BlockchainHouse. He is a co-creator of global brands such as Paycoiner and BuyCoinNow. 
",https://coindeal.com/,https://assets.coingecko.com/markets/images/313/small/2ZP5JaIL_400x400.jpg?1541109266,False,6,99,1970.5200737503733,1970.5200737503733
99,gmo_japan,GMO Japan,,Japan,,https://coin.z.com/jp/,https://assets.coingecko.com/markets/images/430/small/gmo_z_com.png?1561112572,False,6,100,1752.8128316543093,1752.8128316543093
